full_name,id,position,photo_url
Al-Farouq Aminu,56ff7cb8-4828-4aaa-8f95-0bf569a0786d,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/56ff7cb8-4828-4aaa-8f95-0bf569a0786d/300x300-crop.png
Adonis Arms,48e508e9-300e-431d-adf6-65128487fc4c,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/48e508e9-300e-431d-adf6-65128487fc4c/300x300-crop.png
Amari Bailey,615f8557-022f-46ef-9803-3c221ceb1c09,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/615f8557-022f-46ef-9803-3c221ceb1c09/300x300-crop.png
Anthony Barber,1fdbceb4-7155-4b2b-8949-1a9ad3c92fb1,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/1fdbceb4-7155-4b2b-8949-1a9ad3c92fb1/300x300-crop.png
Aron Baynes,bca27365-2b46-470a-aaee-40cf0b096f6e,C-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/bca27365-2b46-470a-aaee-40cf0b096f6e/300x300-crop.png
Anthony Black,089dc4be-faf1-4d91-9e02-fdb78ed096f3,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/089dc4be-faf1-4d91-9e02-fdb78ed096f3/300x300-crop.png
Avery Bradley,b23917d2-bb0d-49fa-a384-80d994561d0c,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/b23917d2-bb0d-49fa-a384-80d994561d0c/300x300-crop.png
Amida Brimah,d35e6cac-3a3e-477a-9efb-dbc282b56c5e,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/d35e6cac-3a3e-477a-9efb-dbc282b56c5e/300x300-crop.png
Armoni Brooks,e69b01fb-0fb7-4043-9609-00aacedf07fe,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/e69b01fb-0fb7-4043-9609-00aacedf07fe/300x300-crop.png
Alec Burks,73fcf334-2088-4862-b83b-66eae415cf87,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/73fcf334-2088-4862-b83b-66eae415cf87/300x300-crop.png
Alex Caruso,8936c15e-f9d5-4b9a-80b9-8f6b7dcf7a17,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/8936c15e-f9d5-4b9a-80b9-8f6b7dcf7a17/300x300-crop.png
Ahmad Caver,bf273fcb-28c6-4f9f-a52e-2642188426a9,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/bf273fcb-28c6-4f9f-a52e-2642188426a9/300x300-crop.png
Amir Coffey,b9d4ce1b-94dc-4bec-8d62-70a86d9c523e,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/b9d4ce1b-94dc-4bec-8d62-70a86d9c523e/300x300-crop.png
Anthony Davis,ea8826b8-1f76-4eab-b61e-ffcb176880f3,F-C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/ea8826b8-1f76-4eab-b61e-ffcb176880f3/300x300-crop.png
Ayo Dosunmu,f8a7e4c7-d60e-4751-9203-30a772dd9272,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/f8a7e4c7-d60e-4751-9203-30a772dd9272/300x300-crop.png
Andre Drummond,440b769d-2b8b-477f-80d7-cb21d83c0d52,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/440b769d-2b8b-477f-80d7-cb21d83c0d52/300x300-crop.png
Anthony Duruji,bbfffb60-71b7-4288-8419-dfd5639bc016,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/bbfffb60-71b7-4288-8419-dfd5639bc016/300x300-crop.png
Anthony Edwards,d0c7135a-1aea-40cb-ba20-df656de71749,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/d0c7135a-1aea-40cb-ba20-df656de71749/300x300-crop.png
Adam Flagler,6a45cd75-c6ef-42ac-9a67-dd0fdb21ade7,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/6a45cd75-c6ef-42ac-9a67-dd0fdb21ade7/300x300-crop.png
Aleem Ford,0a491a19-1d8b-4ebd-8cff-694dfcd920b4,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/0a491a19-1d8b-4ebd-8cff-694dfcd920b4/300x300-crop.png
Armaan Franklin,aa0412aa-08a6-4e8a-b013-7e8e4cae6f0e,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/aa0412aa-08a6-4e8a-b013-7e8e4cae6f0e/300x300-crop.png
Alex Fudge,bc3d0653-efe8-4cca-ad54-3f88cd950447,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/bc3d0653-efe8-4cca-ad54-3f88cd950447/300x300-crop.png
Andrew Funk,1d2b0dcb-23f3-4263-8842-30b8acb556ce,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/1d2b0dcb-23f3-4263-8842-30b8acb556ce/300x300-crop.png
Abdul Gaddy,b9576fd7-426c-49bd-a501-9a9c48f2fa7e,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/b9576fd7-426c-49bd-a501-9a9c48f2fa7e/300x300-crop.png
Anthony Gill,7aa10d1a-ed4e-417d-998d-84ce66c77c9b,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/7aa10d1a-ed4e-417d-998d-84ce66c77c9b/300x300-crop.png
Aaron Gordon,20f85838-0bd5-4c1f-ab85-a308bafaf5bc,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/20f85838-0bd5-4c1f-ab85-a308bafaf5bc/300x300-crop.png
AJ Green,616c60bf-f7ce-482d-a9c8-10c6c7fbef97,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/616c60bf-f7ce-482d-a9c8-10c6c7fbef97/300x300-crop.png
AJ Griffin,dff43943-07d4-44b8-b349-b5a0c327ce54,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/dff43943-07d4-44b8-b349-b5a0c327ce54/300x300-crop.png
Ashton Hagans,8a384680-197e-4fa7-9403-e7a1d8bff8a5,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/8a384680-197e-4fa7-9403-e7a1d8bff8a5/300x300-crop.png
Aaron Henry,0b295571-ce3f-4436-aea7-b84e9cf7203a,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/0b295571-ce3f-4436-aea7-b84e9cf7203a/300x300-crop.png
Aaron Holiday,877eb456-2827-475f-b858-2bc00480e24f,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/877eb456-2827-475f-b858-2bc00480e24f/300x300-crop.png
Aric Holman,e30567e1-de22-401f-8cf2-770a46d8be9d,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/e30567e1-de22-401f-8cf2-770a46d8be9d/300x300-crop.png
Al Horford,cf3a87ec-c2f7-42e8-9698-6f8b2ba916a9,C-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/cf3a87ec-c2f7-42e8-9698-6f8b2ba916a9/300x300-crop.png
Andre Iguodala,9fdcd102-1c82-4e32-b366-c93139352c75,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/9fdcd102-1c82-4e32-b366-c93139352c75/300x300-crop.png
Andre Jackson Jr.,8aaf1808-f7af-4894-9b14-cc7655005313,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/8aaf1808-f7af-4894-9b14-cc7655005313/300x300-crop.png
Alize Johnson,247fda9b-09e6-4949-8fe3-acfcb9ed0983,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/247fda9b-09e6-4949-8fe3-acfcb9ed0983/300x300-crop.png
Arnoldas Kulboka,95b5aa82-5f5f-469a-b0ca-d9188d225798,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/95b5aa82-5f5f-469a-b0ca-d9188d225798/300x300-crop.png
Anthony Lamb,52d1f182-9da7-4b69-a310-4783a8c25f4f,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/52d1f182-9da7-4b69-a310-4783a8c25f4f/300x300-crop.png
A.J. Lawson,6bc71e02-9a03-40db-aed4-332ab5193336,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/6bc71e02-9a03-40db-aed4-332ab5193336/300x300-crop.png
Alex Len,2facd6c5-10c6-4481-a20f-a885b3f84460,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/2facd6c5-10c6-4481-a20f-a885b3f84460/300x300-crop.png
Alfonzo McKinnie,cba64aec-adb0-4ff4-a59f-fa3fd61418d7,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/cba64aec-adb0-4ff4-a59f-fa3fd61418d7/300x300-crop.png
Aminu Mohammed,bf5246b5-714f-4a4c-8d3f-c4f5891b6fb6,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/bf5246b5-714f-4a4c-8d3f-c4f5891b6fb6/300x300-crop.png
Adam Mokoka,51ee792b-20c1-4ce5-b123-53fa05cb943e,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/51ee792b-20c1-4ce5-b123-53fa05cb943e/300x300-crop.png
Ade Murkey,b3809240-3430-485e-822a-c59be7b2c63c,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/b3809240-3430-485e-822a-c59be7b2c63c/300x300-crop.png
Abdel Nader,d21c7f7b-c1aa-4b52-9371-a399cfcabfdd,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/d21c7f7b-c1aa-4b52-9371-a399cfcabfdd/300x300-crop.png
Andrew Nembhard,02acc094-76ab-4b3e-b51d-a351a9bab6b9,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/02acc094-76ab-4b3e-b51d-a351a9bab6b9/300x300-crop.png
Aaron Nesmith,90d63a71-e4fe-411c-9773-2e74b5e1cb3b,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/90d63a71-e4fe-411c-9773-2e74b5e1cb3b/300x300-crop.png
Alex O'Connell,58b59093-a407-48bc-ba49-6ce5f07717b0,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/58b59093-a407-48bc-ba49-6ce5f07717b0/300x300-crop.png
Aleksej Pokusevski,132799e5-ab45-4b19-aff9-5dd73f85651c,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/132799e5-ab45-4b19-aff9-5dd73f85651c/300x300-crop.png
Austin Reaves,c4981f56-93a2-47b1-8d31-4e8635f45e1d,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/c4981f56-93a2-47b1-8d31-4e8635f45e1d/300x300-crop.png
A.J. Reeves,643b1f04-755c-4041-8259-45340a056b43,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/643b1f04-755c-4041-8259-45340a056b43/300x300-crop.png
Austin Rivers,34a159c8-9fe6-4386-bf01-3446f4248bcb,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/34a159c8-9fe6-4386-bf01-3446f4248bcb/300x300-crop.png
Andre Roberson,62933587-9382-4b7e-9cb0-9a07e5b4fdc8,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/62933587-9382-4b7e-9cb0-9a07e5b4fdc8/300x300-crop.png
Adama Sanogo,73e347c9-dab6-45b2-8774-82d5bdb6f940,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/73e347c9-dab6-45b2-8774-82d5bdb6f940/300x300-crop.png
Admiral Schofield,ddebd1eb-4298-449d-850a-4dd5f84da05c,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/ddebd1eb-4298-449d-850a-4dd5f84da05c/300x300-crop.png
Alperen Sengun,47ff78e7-5607-48d6-9c1a-bddb075dbe70,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/47ff78e7-5607-48d6-9c1a-bddb075dbe70/300x300-crop.png
Aamir Simms,3574b554-210a-4382-ada9-220ad42586ff,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/3574b554-210a-4382-ada9-220ad42586ff/300x300-crop.png
Anfernee Simons,632adcc4-97f1-4e67-a132-e0b79f013c67,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/632adcc4-97f1-4e67-a132-e0b79f013c67/300x300-crop.png
Alen Smailagic,c68be35a-1173-4d26-bdfb-495a3904fa46,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/c68be35a-1173-4d26-bdfb-495a3904fa46/300x300-crop.png
Ausar Thompson,18c14a3d-2ce0-451c-bceb-b0ce13c16ead,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/18c14a3d-2ce0-451c-bceb-b0ce13c16ead/300x300-crop.png
Amen Thompson,b8b323c1-5691-43a4-9c48-707531803d6a,F-G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/b8b323c1-5691-43a4-9c48-707531803d6a/300x300-crop.png
Anthony Tolliver,33a91bda-9f4d-4f80-97d8-9bc574f6afc2,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/33a91bda-9f4d-4f80-97d8-9bc574f6afc2/300x300-crop.png
Au'Diese Toney,01fd0e27-0147-4034-a74e-c2c75ece7843,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/01fd0e27-0147-4034-a74e-c2c75ece7843/300x300-crop.png
Axel Toupane,f3fd7679-312f-42a1-b78d-326da1492c03,G-F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/f3fd7679-312f-42a1-b78d-326da1492c03/300x300-crop.png
Azuolas Tubelis,54cfeef0-7252-4db2-9732-e399750031a5,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/54cfeef0-7252-4db2-9732-e399750031a5/300x300-crop.png
Anderson Varejao,2c861696-d71b-4419-8a13-2f9e294ad0b5,C,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/2c861696-d71b-4419-8a13-2f9e294ad0b5/300x300-crop.png
Aaron Wiggins,d3b28775-473d-471a-8452-e913f4347f0f,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/d3b28775-473d-471a-8452-e913f4347f0f/300x300-crop.png
Andrew Wiggins,77c425f0-0fce-4fab-bd1e-c915c8fb5bc7,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/77c425f0-0fce-4fab-bd1e-c915c8fb5bc7/300x300-crop.png
Alondes Williams,58c01127-e0de-487d-a2bc-bf88642619c0,G,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/58c01127-e0de-487d-a2bc-bf88642619c0/300x300-crop.png
Precious Achiuwa,3dbbb869-88a8-44f2-ac36-46fd0f5d825c,F,https://fanalyze-images.s3.amazonaws.com/nba/getty_premium/headshots/players/3dbbb869-88a8-44f2-ac36-46fd0f5d825c/300x300-crop.png
