minutes,points,off_rebounds,def_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,flagrant_fouls,blocked_att,field_goals_made,field_goals_att,three_points_made,three_points_att,free_throws_made,free_throws_att,two_points_made,two_points_att,efficiency,true_shooting_att,points_off_turnovers,points_in_paint_made,points_in_paint_att,points_in_paint,fouls_drawn,offensive_fouls,fast_break_pts,fast_break_att,fast_break_made,second_chance_pts,second_chance_att,second_chance_made,player_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56ff7cb8-4828-4aaa-8f95-0bf569a0786d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48e508e9-300e-431d-adf6-65128487fc4c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615f8557-022f-46ef-9803-3c221ceb1c09
4.3,0.0,0.33,0.67,1.0,1.0,0.0,0.0,0.33,0.33,0.0,0.33,0.0,1.33,0.0,0.0,0.0,1.33,0.0,1.33,-1.0,1.92,0.0,0.0,0.67,0.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,1fdbceb4-7155-4b2b-8949-1a9ad3c92fb1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bca27365-2b46-470a-aaee-40cf0b096f6e
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,089dc4be-faf1-4d91-9e02-fdb78ed096f3
23.7,6.2,0.5,2.0,2.5,0.7,0.86,0.21,0.54,1.79,0.0,0.25,2.39,5.86,1.32,3.39,0.07,0.07,1.07,2.46,6.46,5.89,1.29,0.82,1.61,1.64,0.32,0.04,0.89,0.96,0.32,0.93,0.68,0.39,b23917d2-bb0d-49fa-a384-80d994561d0c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d35e6cac-3a3e-477a-9efb-dbc282b56c5e
18.0,7.3,0.27,1.67,1.93,1.4,0.63,0.23,0.5,1.57,0.0,0.13,2.47,6.7,1.8,5.6,0.53,0.6,0.67,1.1,6.67,6.96,1.23,0.6,0.93,1.2,0.6,0.0,0.6,0.57,0.23,0.53,0.47,0.17,e69b01fb-0fb7-4043-9609-00aacedf07fe
24.45,12.45,0.405,3.19,3.5949999999999998,2.25,0.92,0.2,1.0699999999999998,2.065,0.02,0.29500000000000004,3.815,9.059999999999999,2.0,4.785,2.81,3.465,1.815,4.275,12.44,10.579999999999998,1.825,1.3,2.895,2.61,2.7649999999999997,0.11,0.7749999999999999,0.44999999999999996,0.25,1.385,0.9099999999999999,0.44999999999999996,73fcf334-2088-4862-b83b-66eae415cf87
