games_played,games_started,minutes,field_goals_made,field_goals_att,field_goals_pct,two_points_made,two_points_att,two_points_pct,three_points_made,three_points_att,three_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls,tech_fouls,points,flagrant_fouls,ejections,foulouts,true_shooting_att,true_shooting_pct,efficiency,points_off_turnovers,points_in_paint,points_in_paint_made,points_in_paint_att,points_in_paint_pct,effective_fg_pct,double_doubles,triple_doubles,fouls_drawn,offensive_fouls,fast_break_pts,fast_break_att,fast_break_made,fast_break_pct,coach_ejections,second_chance_pct,second_chance_pts,second_chance_att,second_chance_made,minus,plus,coach_tech_fouls,player_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56ff7cb8-4828-4aaa-8f95-0bf569a0786d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48e508e9-300e-431d-adf6-65128487fc4c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615f8557-022f-46ef-9803-3c221ceb1c09
3.0,0.0,13.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.76,0.0,-3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,38.0,0.0,1fdbceb4-7155-4b2b-8949-1a9ad3c92fb1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bca27365-2b46-470a-aaee-40cf0b096f6e
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,089dc4be-faf1-4d91-9e02-fdb78ed096f3
28.0,23.0,663.0,67.0,164.0,0.409,30.0,69.0,0.435,37.0,95.0,0.389,7.0,2.0,2.0,1.0,14.0,56.0,70.0,20.0,15.0,1.33,24.0,6.0,50.0,0.0,173.0,0.0,0.0,0.0,164.88,0.525,181.0,36.0,46.0,23.0,45.0,0.511,0.521,0.0,0.0,9.0,1.0,25.0,27.0,9.0,0.333,0.0,0.579,26.0,19.0,11.0,1479.0,1426.0,0.0,b23917d2-bb0d-49fa-a384-80d994561d0c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d35e6cac-3a3e-477a-9efb-dbc282b56c5e
30.0,8.0,540.0,74.0,201.0,0.368,20.0,33.0,0.606,54.0,168.0,0.321,4.0,16.0,18.0,0.889,8.0,50.0,58.0,42.0,15.0,2.8,19.0,7.0,47.0,0.0,218.0,0.0,0.0,0.0,208.92,0.522,200.0,37.0,36.0,18.0,28.0,0.643,0.502,0.0,0.0,18.0,0.0,18.0,17.0,7.0,0.412,0.0,0.357,16.0,14.0,5.0,1268.0,1243.0,0.0,e69b01fb-0fb7-4043-9609-00aacedf07fe
42.5,10.0,1017.5,163.0,384.5,0.42100000000000004,78.5,182.0,0.42400000000000004,84.5,202.5,0.418,12.5,121.0,149.0,0.8115,17.0,131.5,148.5,96.0,46.0,2.13,37.5,8.0,86.5,0.0,531.5,1.0,0.0,0.0,450.06,0.5874999999999999,526.0,76.0,110.0,55.0,120.5,0.4535,0.5315000000000001,0.0,0.0,117.0,5.0,32.5,19.0,10.5,0.554,0.0,0.4945,57.5,38.5,19.0,2364.0,2384.5,0.0,73fcf334-2088-4862-b83b-66eae415cf87
46.5,22.5,1152.0,101.5,224.5,0.4515,60.0,110.5,0.5395000000000001,41.5,114.0,0.364,13.5,51.5,63.0,0.819,33.5,113.0,146.5,148.0,58.0,2.575,75.5,27.5,112.5,1.0,296.0,0.0,0.0,1.0,252.22,0.5865,501.0,67.0,112.0,56.0,99.0,0.562,0.5425,1.0,0.0,84.5,2.5,43.0,27.5,16.5,0.567,0.0,0.457,27.0,21.5,9.5,2528.5,2688.0,0.0,8936c15e-f9d5-4b9a-80b9-8f6b7dcf7a17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf273fcb-28c6-4f9f-a52e-2642188426a9
36.0,6.0,472.5,40.5,106.0,0.3795,28.0,64.5,0.4435,12.5,41.5,0.3005,9.5,37.0,46.0,0.8200000000000001,11.5,40.0,51.5,35.0,13.5,2.675,6.5,5.0,33.0,0.0,130.5,0.0,0.0,0.5,126.24000000000001,0.528,140.5,20.5,47.0,23.5,50.0,0.49350000000000005,0.45099999999999996,0.0,0.0,34.5,1.5,28.0,14.5,9.5,0.6845,0.0,0.143,8.0,13.0,3.0,1064.5,1020.5,0.0,b9d4ce1b-94dc-4bec-8d62-70a86d9c523e
41.5,40.5,1429.5,396.5,722.0,0.542,382.0,657.0,0.5774999999999999,14.5,65.0,0.218,36.5,232.5,302.5,0.7555000000000001,134.5,350.0,484.5,112.5,91.0,1.245,45.5,84.5,104.5,2.0,1040.0,0.5,0.5,0.0,855.0999999999999,0.598,1280.5,147.0,633.0,316.5,493.0,0.6425000000000001,0.552,26.5,0.0,232.5,15.5,84.0,46.0,35.5,0.769,0.0,0.5875,187.5,116.5,71.0,3314.5,3393.0,0.0,ea8826b8-1f76-4eab-b61e-ffcb176880f3
