iter	Passed	Remaining
0	145	28960
1	244	24248
2	378	24851
3	494	24230
4	616	24028
5	784	25364
6	908	25045
7	1054	25300
8	1175	24949
9	1325	25190
10	1472	25304
11	1583	24800
12	1702	24485
13	1836	24400
14	1957	24148
15	2096	24105
16	2228	23987
17	2375	24016
18	2570	24489
19	2703	24334
20	2854	24332
21	2996	24240
22	3163	24345
23	3299	24194
24	3438	24067
25	3568	23884
26	3691	23652
27	3830	23528
28	3948	23279
29	4055	22980
30	4190	22844
31	4311	22633
32	4507	22813
33	4709	22992
34	4834	22790
35	4964	22615
36	5110	22515
37	5276	22496
38	5402	22304
39	5513	22052
40	5636	21857
41	5792	21790
42	5924	21631
43	6076	21545
44	6212	21399
45	6341	21230
46	6492	21134
47	6616	20953
48	6727	20730
49	6894	20682
50	7058	20622
51	7182	20442
52	7304	20261
53	7421	20065
54	7560	19933
55	7671	19726
56	7794	19555
57	7922	19397
58	8042	19220
59	8202	19139
60	8325	18971
61	8459	18829
62	8569	18634
63	8686	18458
64	8797	18271
65	8909	18089
66	9037	17939
67	9169	17800
68	9324	17703
69	9468	17584
70	9597	17438
71	9729	17297
72	9871	17173
73	10003	17033
74	10131	16885
75	10262	16743
76	10392	16600
77	10531	16471
78	10693	16378
79	10837	16256
80	10968	16114
81	11081	15946
82	11211	15803
83	11323	15637
84	11428	15461
85	11544	15302
86	11661	15146
87	11794	15010
88	11892	14831
89	12019	14690
90	12123	14521
91	12245	14374
92	12386	14251
93	12542	14143
94	12662	13995
95	12795	13861
96	12929	13729
97	13058	13591
98	13188	13455
99	13319	13319
100	13440	13174
101	13573	13041
102	13717	12918
103	13836	12772
104	13958	12629
105	14118	12520
106	14259	12393
107	14405	12270
108	14539	12138
109	14671	12003
110	14803	11869
111	14916	11720
112	15059	11594
113	15178	11450
114	15283	11296
115	15396	11149
116	15517	11007
117	15643	10870
118	15752	10722
119	15875	10583
120	15991	10440
121	16115	10303
122	16231	10161
123	16362	10028
124	16491	9894
125	16604	9751
126	16726	9614
127	16846	9476
128	16993	9352
129	17126	9222
130	17252	9087
131	17423	8975
132	17548	8839
133	17694	8715
134	17836	8587
135	17957	8450
136	18105	8325
137	18244	8196
138	18338	8047
139	18474	7917
140	18594	7780
141	18753	7659
142	18883	7527
143	18996	7387
144	19166	7270
145	19296	7137
146	19436	7007
147	19565	6874
148	19695	6741
149	19824	6608
150	19950	6473
151	20086	6343
152	20200	6205
153	20314	6067
154	20454	5938
155	20581	5805
156	20704	5670
157	20831	5537
158	20983	5410
159	21163	5290
160	21282	5155
161	21407	5021
162	21560	4894
163	21707	4765
164	21855	4636
165	21981	4502
166	22103	4367
167	22240	4236
168	22367	4102
169	22502	3971
170	22612	3834
171	22767	3706
172	22932	3578
173	23064	3446
174	23192	3313
175	23321	3180
176	23439	3045
177	23577	2914
178	23698	2780
179	23849	2649
180	23971	2516
181	24092	2382
182	24230	2250
183	24340	2116
184	24475	1984
185	24591	1850
186	24723	1718
187	24867	1587
188	25003	1455
189	25126	1322
190	25260	1190
191	25386	1057
192	25522	925
193	25657	793
194	25803	661
195	25933	529
196	26070	397
197	26202	264
198	26322	132
199	26454	0
